name,website,classification,platform,confidence,signals
"Kvong IF","http://www.kvong.dk/DK/idraetsforening.aspx","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Køge Nord FC","http://www.kogenordfc.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Kværndrup BK","http://www.kvaerndrupboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Langebæk Alliancen","https://www.langebaek-alliancen.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Langholt Sports Klub","http://www.langholtsportsklub.dk/","unknown","","low","generator:One.com Web Editor"
"Kværkeby IF","http://www.kvaerkebyif.dk/","unknown","","low",""
"Kvissel-Ravnshøj IF","http://www.kr-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Langtved SG  &  IF","http://www.lsgif.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Køge BK","http://www.koge-boldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Lejre IF","http://www.fclejre.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Langeskov IF","http://www.langeskovif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Kristrup B","http://www.kb1908.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Ledøje-Smørum Fodbold","http://www.lsf.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Lejerbo BK","http://www.lejerbo-boldklub.dk/","unknown","","low",""
"Levring Efterskole","http://www.levring-efterskole.dk/","custom","Wix","high","platform:Wix"
"Lemming IF","http://www.lemmingif.dk/","unknown","","low",""
"Liria FK","http://www.liriafk.dk/","unreachable","","n/a","fetch failed"
"Lisbjerg FC","http://www.lisbjergfc.dk/","unreachable","","n/a","fetch failed"
"LKB/Gistrup","http://www.lkb.dk/","unknown","","low",""
"Linde B","http://www.lindeboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Lellinge IF","http://www.lellingeif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Listrup U&IF","http://www.luif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Lemvig GF","http://www.lemviggf.dk/","custom","WordPress","high","platform:WordPress"
"Lomborg Gymnastik- og Idrætsefterskole","http://www.lomborg-efterskole.dk/","custom","WordPress","high","platform:WordPress"
"Lumby IF 88","http://www.lif88.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Lunderskov Efterskole","http://www.lunderskov-efterskole.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Lundtoft IF","http://www.lif-fodbold.dk/","unreachable","","n/a","fetch failed"
"Lund IF","http://www.lundif.dk/","unknown","","low",""
"Lendum UGI","http://www.lugi.dk/","custom","WordPress","high","platform:WordPress"
"Lundergård IU","http://www.liuf.dk/","custom","WordPress","high","platform:WordPress"
"Lindved GF","http://www.lindved-gf.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Lunderskov B","http://www.lunderskovboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Lyngby Boldklub 1921","http://www.lyngby-boldklub1921.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Lundtofte Boldklub","http://www.lundtofte-boldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Lynge-Uggeløse IF","http://www.lui.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Lyngsaa B","http://www.lyngsaaboldklub.dk/","custom","SPA/tom HTML","low","generator:Microsoft FrontPage 12.0; empty-or-spa-shell"
"Lynge-Broby IF","http://www.lb-i.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Løgum IF","http://www.loegumfodbold.dk/","unreachable","","n/a","fetch failed"
"Løgstrup G&IF","http://www.lgif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Lystrup IF","http://www.lystrupfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Lysabild SG","http://www.lysabildsg.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Løvel IF","http://www.tjelevestsport.dk/","unreachable","","n/a","fetch failed"
"Løgumkloster Efterskole","http://www.lme.dk/","unknown","","low",""
"Løgstør IF","http://www.logstorif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Mammen IF","http://www.mammenif.dk/","unknown","","low","generator:Webnode 2"
"Løsning IF","http://www.losningif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Løjt IF","http://www.loejt-if.dk/","unknown","","low",""
"Marslev G & IF","http://www.mgif.dk/","unreachable","","n/a","fetch failed"
"Langaa IK","http://www.langaa-ik.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9.4"
"Lyngs Idrætsefterskole","http://www.l-i-e.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Låsby B","http://www.laasbyboldklub.dk/","unknown","","low",""
"Marstal IF","http://www.marstalif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Maribo BK","http://www.maribobk.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Mariehøj Kammeraterne Silkeborg","http://www.mks-silkeborg.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Mejrup GU","http://www.mejrup-fodbold.dk/","unknown","","low",""
"Mejdal-Halgård Fodbold","http://www.mejdal-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos"
"Mina Hindholm Efterskole","http://minahindholm.dk/","unreachable","","n/a","fetch failed"
"Mern UIF","http://www.mernif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 5.1.19"
"Midtals IF","http://www.mif.dk/","unknown","","low",""
"Mosede BK","http://www.mosedeboldklub.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Melby-Liseleje IF","http://www.mli-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Mot G & U","http://www.mot-gu.dk/","unknown","","low",""
"Morud IF","http://www.morud.dk/fodbold","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Møgeltønder UIF","http://muif.dk/","unreachable","","n/a","fetch failed"
"MG & BK","http://www.mg-bk.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Mou IF","http://www.mou-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Møns FK","http://www.mons-fk.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Møldrup/Tostrup IF","http://www.mtif.dk/","custom","Wix","high","platform:Wix; generator:Wix.com Website Builder"
"Mønsted IF","http://www.mønsted-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Mellerup Efterskole","http://www.mellerupefterskole.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Munkebo BK","http://www.munkebobk.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Mørkøv IF","http://www.morkovif-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Mørke IF","http://www.moerkeif.dk/","custom","SPA/JS-framework","medium","platform:SPA/JS-framework"
"Mørkhøj Sportsklub","http://moerkhoej-sportsklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Nexø B.","http://www.nbboldklub.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"NFS - Nørremarkens forenede Sportsklubber","http://www.nfsvejle.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Naur-Sir-Krunderup","http://www.nsk-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Nim IF","http://www.nimif.dk/","unknown","","low",""
"Måløv BK","http://www.mb-boldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Nibe B","http://www.nibeboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Nivå-Kokkedal FK","http://www.nivaa-kokkedal-fodboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Nordenskov IF","http://www.nuif.dk/","unknown","","low",""
"Nord-Als B","http://www.nordals-boldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Nordfalster FB","http://www.nordfalsterfb.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; template-default-dbu-mail"
"Nordvestmors BK","http://www.nordvestmors.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Nr. Bjært/Strandhuse IF","http://www.nbsif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Mariager IK","http://www.mariager-ik.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Måbjerg IF","http://www.maabjergif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Notmark SU","http://www.nsu-als.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Nr. Lyndelse / Søby F.C.","http://www.nrlyndelsefodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Nr. Aaby IK","http://www.nikfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"NUGF Viborg","http://www.nugf.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"NB 93, Aarhus","http://www.nb93.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Nors B","http://norsbk.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Nyker IF","http://www.nyker-if.dk/","unknown","","low","generator:Nyker Idr&#230;tsforening"
"Nykøbing FC","http://www.nykobingfc.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Nyborg G & IF","http://www.nyborggif-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Nyråd IF","http://www.nyraadfodbold.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Nykøbing FC (professional)","http://www.nykobingfc.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Ny Kappel Boldklub 07","http://www.bricksite.com/nykappelboldklub07","unknown","","low","generator:Bricksite"
"Nykøbing IF","http://www.nykoebingif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Næsby BK","http://www.naesbyboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Næsby (professional)","http://www.naesbyboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Nødebo IF","http://www.nif.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Næstved I.F.","http://www.niffodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Næstved FC 77","http://www.fc77.dk/","custom","Wix","high","platform:Wix; generator:Wix.com Website Builder"
"Nustrup UF","http://www.nustrupuf.dk/","custom","WordPress","high","platform:WordPress; generator:All in One SEO (AIOSEO) 4.8.1.1"
"Næsbjerg/Rousthøje UI","http://www.nrui.dk/","unknown","","low",""
"Nørrebro United","http://www.nbunited.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Nørre Alslev BK","http://www.nab-boldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Nørresundby Forenede Boldklubber","http://www.norresundbyfb.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Oddense-Otting UGF","http://www.oddense-idræt.dk/","unreachable","","n/a","fetch failed"
"Næstved BK (professional)","http://www.naestvedboldklub.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.8.1"
"OB Q","http://www.odenseq.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Old Boys 1945","http://www.oldboys1945.dk/","unreachable","","n/a","fetch failed"
"Nørbæk Efterskole","http://nørbækefterskole.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Olympic Amager KIF - Afventer","http://olyamagerkulture.dk/","unreachable","","n/a","fetch failed"
"Olympia Øster Hurup IF","http://olympia1938.dk/","unknown","","low",""
"Nøvlingskov Efterskole","http://www.noevlingskov.dk/","unknown","","low",""
"Odense Boldklub","http://www.obfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"ORI-Fodbold","http://www.ori-bold.dk/","unknown","","low","generator:Webnode 2"
"Orient GI","http://www.orientexpressen.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Osted IF","http://www.fclejre.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Pan Fodbold","http://www.panfodbold.dk/","unreachable","","n/a","fetch failed"
"Phønix Efterskole","http://phoenixefterskole.dk/","unreachable","","n/a","fetch failed"
"Otterup Bold- og Idrætsklub","http://www.ob-ik.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Politiets Idrætsforening","http://www.pifodbold.dk/","unknown","","low",""
"Overlund GF","http://www.overlundgf.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Odder Fodbold","http://www.odderfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Over Jerstal Fodboldklub","https://www.facebook.com/groups/232566707259146","custom","Shopify","medium","platform:Shopify"
"Præstø IF","http://www.praestoif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"PSI/Serritslev","https://www.klub-psi.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.7.5"
"Nøvling FK","http://www.nfknet.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Ramløse Fodbold IF","http://www.ramlosefodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Raklev GI","http://www.raklev.dk/","unknown","","low",""
"Poulstrup Vrejlev 81","http://www.pv81.dk/","custom","WordPress","high","platform:WordPress"
"Randers Freja","http://www.randersfreja.dk/","unknown","","low",""
"Poulsker IF","http://www.pif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Ranum Efterskole","http://www.ranumefterskole.dk/","custom","WordPress","high","platform:WordPress; generator:Powered by LayerSlider 8.2.0 - Build Heros, Sliders, and Popups. Create Animations and Beautiful, Rich Web Content as Easy as Never Before on WordPress."
"Ramme-Lomborg IF","http://www.rlif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.2.6"
"Randers KFUM Fodbold","http://kfumfodboldranders.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Rebild Efterskole","http://www.rebildefterskole.dk/","unknown","","low",""
"Reerslev IF","http://www.reerslevif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 5.1.19"
"Ravnsbjerg IF","http://www.ravnsbjerg-if.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Resenbro UIF","http://www.ruif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Rebæk IF","http://www.rebaekif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Randlev/Boulstrup IF","http://rbif.dk/","unknown","","low",""
"Ribe BK","http://www.ribeboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Ravsted UI","http://www.ravsted.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Ringe BK","http://www.rb27.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Ringkøbing IF","http://www.ringkobingif.dk/","unknown","","low",""
"Rindum SU","http://www.rindumsu.dk/","unknown","","low",""
"Ringsted Pigefodbold","http://www.ringstedpigefodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Roholte BK","http://www.roholtebk.dk/","unreachable","","n/a","fetch failed"
"Ringsted IF","http://www.rif-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Rise S & IF","http://www.rise-sif.dk/","custom","Joomla","medium","platform:Joomla"
"RKG Fodbold","http://www.rkg-fodbold.dk/","custom","SPA/JS-framework","medium","platform:SPA/JS-framework"
"Rinkenæs Efterskole","http://www.rinkenaes.dk/","custom","WordPress","high","platform:WordPress"
"Romalt IF","http://www.romaltif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Rosendal IK","http://www.ikrosendal.dk/","unknown","","low",""
"Roslev IK","http://www.roslev-ik.dk/","custom","WordPress","high","platform:WordPress; generator:WP Rocket 3.18.3"
"Rosenhøj BK","http://www.rosenhojboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Roskilde Boldklub","http://www.rb1906.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Roskilde Pigefodbold","http://roskildepigefodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Lunde B","http://www.lundeboldklub.dk/","unreachable","","n/a","timeout"
"Ry Fodbold","http://ryfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Rudkøbing BK","http://www.r-b.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Rolfsted IF","http://www.rolfsted-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Rødding IF","http://www.roedding-if.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Ryslinge BK","http://www.ryslingeboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Røde Stjerne FC, Skive","http://www.rsfcs.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Rønne f.B.","http://www.ronnefb.dk/","unreachable","","n/a","fetch failed"
"Rønne IK","http://www.roenneik.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","medium","umbraco-media-path"
"Rødvig G&I","https://www.rodvig-gi.dk/","custom","WordPress","high","platform:WordPress"
"Resen/Humlum IF","http://www.rhif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 5.8.13"
"Rødekro IF","http://www.roedekrofodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Røde Stjerne BK","http://www.roede-stjerne.dk/","unknown","","low","generator:MemberLink"
"Rågelund Efterskole","http://www.raagelund.com/","unknown","","low",""
"Rønnede IF","http://www.roennedeif.dk/fodbold","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Rørby-Værslev IF","http://www.rvif.dk/fodbold","custom","WordPress","high","platform:WordPress"
"Saltum IF","http://www.saltumif.dk/","unknown","","low","generator:One.com Web Editor"
"Sallingsund FC","http://www.sallingsundfc.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"S.K.F.I.F.","http://www.skfif.dk/","unknown","","low",""
"Rørvig IF","http://www.roervig-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Sandby  GF","http://www.sandby-gf.dk/","unknown","","low",""
"Sanderum BK","http://www.sanderumboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Saxild IF","http://www.saxild-if.dk/","unknown","","low",""
"Sct. Jørgens IF","http://www.sjsi.dk/","unknown","","low",""
"Sdr. Hygum B","http://www.voresboldklub.dk/","unreachable","","n/a","fetch failed"
"Sdr. Felding GIF","http://www.sfgif.dk/","unknown","","low",""
"Sdr. Rind/Vinkel IF","http://www.svif4ever.dk/","unreachable","","n/a","fetch failed"
"SC Amager","http://www.facebook.com/SportingClubAmager","custom","Shopify","medium","platform:Shopify"
"Sabro IF","http://www.sabro-if.dk/","custom","WordPress","high","platform:WordPress; generator:Elementor 4.1.4; features: additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-auto"
"Seest B","http://www.seestboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Sandved-Tornemark IF","http://www.stif.dk/","custom","WordPress","high","platform:WordPress"
"Sejs Svejbæk IF","http://www.sejssvejbaek-if.dk/","custom","WordPress","high","platform:WordPress; generator:Site Kit by Google 1.181.0"
"Sierslev FC","http://www.sierslevfc.dk/","unreachable","","n/a","fetch failed"
"SIF Assentoft","http://www.fodboldsif.dk/","unreachable","","n/a","fetch failed"
"Silkeborg B","http://www.silkeborgboldklub.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.7.5"
"SfB","http://www.sfb.dk/","unknown","","low","generator:SiteSuite CMS - www.uptime.dk"
"Silkeborg IF Q","http://www.sifq.dk/","unknown","","low",""
"Silkeborg IF","http://www.silkeborgiffodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Sengeløse GI","http://www.sengeloese.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"SIK Viborg, fodbold","http://www.sik-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Sindal IF","http://www.sindalfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Silkeborg KFUM","http://www.silkeborgkfum.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.3.8"
"Sinding GIF","http://www.sindinggif.dk/","custom","WordPress","high","platform:WordPress"
"SINE Sportsefterskole","http://www.sine.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Skalbjerg BK","http://www.skalbjerg-bk.dk/","unknown","","low",""
"Skagen IK","http://www.skagenik.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Sdr. Omme IF","http://www.soifsport.dk/","custom","WordPress","high","platform:WordPress"
"Skals FF","http://www.skalsff.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Skallerup/Vennebjerg IF","http://www.svif.dk/","unknown","","low",""
"Skelde GF","http://www.skelde.dk/","unreachable","","n/a","fetch failed"
"Skelund IF","http://www.skelund-fodbold.dk/","unreachable","","n/a","fetch failed"
"Skeby GF","http://www.skebygf.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Skanderup Efterskole","http://www.skanderupefterskole.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9.4"
"Rønde Efterskole","http://www.rhe.dk/","unreachable","","n/a","fetch failed"
"Skibby IK","http://www.skibbyik.dk/","unknown","","low",""
"Sjørring B","http://www.sjoerringbk.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Nørager IF","http://www.nif-rif.dk/","unreachable","","n/a","timeout"
"Sjørslev/Demstrup IF","http://www.sdif.dk/","custom","WordPress","high","platform:WordPress; generator:Elementor 4.1.4; features: e_font_icon_svg, additional_custom_breakpoints; settings: css_print_method-internal, google_font-enabled, font_display-swap"
"Skibsby-Højene IF","http://www.shi-sport.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Skibet IF","http://www.skibet-if.dk/","unknown","","low",""
"Skodborg IF","http://www.sif-skodborg.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.1.10"
"Skjern GF","http://www.sgfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Skive IK (professional)","http://www.skive-ik.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Skive IK","http://www.skive-ik.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
