name,website,classification,platform,confidence,signals
"Egebjerg Fodbold","http://www.egebjerg-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Egen UI","http://www.eui.dk/","unknown","","low",""
"Efterskolen Ådalen","http://www.efterskolen-aadalen.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Egmont Rollators FC","http://www.egmontrollatorsfc.dk/","unknown","","low","generator:Webnode 2"
"Egebjerg IF","http://www.egebjerg-if.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Ebeltoft IF","http://www.ebeltoftfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"De 7 Dale Idrætsforening","https://de7dale-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Ejstrupholm IF","http://www.ejstrupholmif.dk/","unreachable","","n/a","fetch failed"
"Endeslev-Vråby IF","http://www.evif.dk/","unreachable","","n/a","fetch failed"
"Egtved IF","http://www.egtvedif.dk/dk/fodbold/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Ejby IK","http://www.ejbyik.dk/","unknown","","low",""
"Elbæk Efterskole","http://www.elbaek-efterskole.dk/","unknown","","low",""
"Ejby IF 1968","http://www.ejbyif68.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Esbjerg Firmaidræt","http://www.esbjerg-firmaidraet.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","medium","umbraco-media-path"
"Ejby IF Fodbold","http://www.ejbyiffodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Esbjerg fB","http://www.efb.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9.4"
"Eskilstrup BK","http://www.eskilstrupboldklub.dk/","custom","WordPress","high","platform:WordPress; generator:Powered by LayerSlider 6.10.0 - Multi-Purpose, Responsive, Parallax, Mobile-Friendly Slider Plugin for WordPress."
"Erritsø GIF","http://www.egif-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Esrum IF","http://www.esrumif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Esbjerg IF 92","http://www.if92fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"FA 2000","http://www.frederiksbergalliancen.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"F.C. Gladsaxe","http://www.fcgladsaxe.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Fanø B","http://www.fanøboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"F.C. Lange Bolde","http://www.fclangebolde.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.7.2"
"Farsø/Ullits IK","http://www.fuik.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Farum BK","http://www.farum-boldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"FC Avrasya","http://www.avrasya.dk/","custom","WordPress","high","platform:WordPress"
"FC Bøgeskov","http://www.fcbøgeskov.dk/","unreachable","","n/a","fetch failed"
"Faxe BK","https://faxeboldklub.dk/","unknown","","low",""
"Errindlev G & I","http://www.egi.dk/","custom","WordPress","high","platform:WordPress; generator:Elementor 4.1.4; features: e_font_icon_svg, additional_custom_breakpoints; settings: css_print_method-external, google_font-enabled, font_display-swap"
"Dansk Træner Union","http://www.dtunet.dk/","custom","WordPress","high","platform:WordPress; generator:Powered by Slider Revolution 6.7.57 - responsive, Mobile-Friendly Slider Plugin for WordPress with comfortable drag and drop interface."
"FC Dunav","http://www.fcdunav.dk/","unreachable","","n/a","fetch failed"
"FC Broby","http://www.fcbroby.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"FC Culpa","http://www.fcculpa.dk/","unknown","","low",""
"FC Campus","http://www.fccampus.dk/","unknown","","low","generator:Webnode 2"
"FC BiH Odense","http://www.facebook.dk/FcBihOdense","custom","Shopify","medium","platform:Shopify"
"FC Faaborg","http://www.fcfaaborg.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"FC Glesborg","http://www.fc-glesborg.dk/","custom","Joomla","medium","platform:Joomla"
"FC Hjallese","http://www.fchjallese.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"FC Hvidovre","http://www.fchvidovre.dk/","unknown","","low",""
"FC Holte","http://www.fcholte.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"FC Kurant","http://www.fckurant.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Faxe Ladeplads IF","http://www.fli.dk/","custom","SPA/JS-framework","medium","platform:SPA/JS-framework"
"FC King George","http://www.fckg.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"FC Horsens","http://www.fchorsens.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"FC Lejre","http://www.fclejre.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"FC Nakskov","http://www.fcnakskov.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"FC Jonstrup","http://www.fcjonstrup.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"FC Nanoq","http://www.fcnanoq.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
