platform,country,rating,version,author,updated,title,text,categories
"ios","dk","3","5.1.6","Yug Krishna","2023-11-21T22:55:29-07:00","Option to Change App Language to English","Dear Team # the App must been good. Why I said must is due to the fact the app is only in Danish. Some Xpacts like us have a difficult time to copy paste from the app to Google translate which is definitely affecting our use of the app and the experience. May we know if you can introduce the option to have English language for the app as well? Thanks and Regards, Yug","sprog"
"ios","dk","1","5.1.6","Nordkap","2023-11-15T05:28:02-07:00","Håbløs","Der er absolut intet intuitivt over den app. Udviklerens svar på den massive kritik er at bede anmelder udpege hvor den halter. Min anbefaling er at lave en hurtig fokus gruppe og bed gruppen anvende app både fra et forældre og træner perspektiv. Så folder problematikken sig helt naturligt ud, den er gal på hele brugerfladen.","login_adgang"
"ios","dk","1","5.1.6","yunus2310","2023-10-30T09:38:46-07:00","Nye layout er virkelig uoverskuelig","Det nye layout er virkelig blevet meget dårlig og uoverskuelig. Før kunne man komme hurtigere ind det man søgte/kiggede efter.","ux_findbarhed"
"ios","dk","1","5.1.2","Wooddk","2023-10-02T11:16:48-07:00","Appen 💥crasher når man vil se stilling 😳","Jeg har ikke oplevet så mange crash med mine apps som jeg oplever med denne efter de seneste opdateringer.   Hvorfor kan man ikke længere se puljens kampprogram?  Er også rimelig lang tid om at loade og især opdatere slettet beskeder. 🤔","nedbrud_fejl|notifikationer"
"android","dk","4","6.14.3","Thomas Møller Hansen","2026-06-23T09:19:39.216Z","","God, overskuelig app.",""
"android","dk","3","6.14.2","Kristian N","2026-05-13T23:04:51.530Z","","Crasher 50 % af de gange, den åbnes. Funktionaliteten er ellers fin, når man endelig kommer ind, men den tager enormt lang tid om at kridte banen op.","nedbrud_fejl"
"android","dk","4","6.11","En Google-bruger","2026-04-11T08:58:51.458Z","","Pt (11-04-26) er der problemer med jeres ellers udmærkede app. Der popper alle mulige turneringer op fra 2012/13 og 14 og det hele sejler rundt derinde.",""
"android","dk","1","6.11","Michelle Skriver Klattrup","2026-04-09T17:38:54.569Z","","Den er så uoverskueligt denne app.","ux_findbarhed"
"android","dk","5","6.9","En Google-bruger","2026-01-07T19:03:40.943Z","","fantastisk app","ros"
"android","dk","1","6.8","Jonas Nielsen","2025-11-11T07:45:46.299Z","","jeg får ikke nogen meddelelser.",""
"android","dk","1","6.7.1","Dennis Højgaard","2025-09-25T13:55:41.134Z","","Jeg får ingen app notifikationer selvom det er slået til i appen.","notifikationer"
"android","dk","5","6.7.1","Said","2025-09-23T13:36:54.121Z","","fantastisk der hjælper helt vildt meget med min fodbold træning og kampe","ros"
"android","dk","5","","Pierre Skipper","2025-08-31T05:10:04.673Z","","Rigtig dejlig App hvis jeg skulle sige det. den fungere godt",""
"android","dk","1","6.6","Mathias Kinder","2025-08-12T04:01:43.794Z","","Så lusket at smide reklamer ind. Ingen respekt",""
"android","dk","1","6.4.3","Peter Søgaard Kristensen","2025-05-13T03:52:57.574Z","","det er svært at tilgå favoritter. ikke muligt at se deltagere på holdet. skal logge ind og ud før jeg kan deltage/framelde til kampen. dette er sket den sidste uges tid. der står flere gange ""menuen kan ikke hentes""","login_adgang"
"android","dk","1","6.4.3","Tim Lemmon","2025-05-10T08:00:25.909Z","","virker ikke optimalt..","nedbrud_fejl"
"android","dk","5","6.4.1","Benjamin Petersen","2025-04-17T19:23:38.230Z","","dejlig app!",""
"android","dk","1","6.4.1","Helle F. Klarup","2025-04-05T12:38:12.861Z","","appen er blevet mega irriterende og træls når man åbner den. Kommer med mulighed for ""rundtur"" i appen hver ENESTE gang den åbnes til trods for man klikke nej hertil. Virkelig pisse irriterende! Det må kunne gøres bedre .",""
"android","dk","3","6.4.1","Marie Louise Farsø","2025-04-03T19:04:25.763Z","","efter den nye opdatering, kan jeg ikke længere melde mit barn fra eks. træning og kamp? det er ikke længere en mulighed? hvordan kan det være?",""
"android","dk","5","6.3.2","Malik Kk","2025-04-01T13:27:10.340Z","","det er godt",""
"android","dk","3","6.2","John Lauridsen","2025-03-17T19:04:27.946Z","","Hej igen det kan den ikke på tabletten den er låst uanset hvad",""
"android","dk","2","6.2","Peter Sørensen","2025-01-19T10:12:11.966Z","","Under ens pulje stilling, trykker jeg på en modstander for at se deres kampprogram men så fryser app'en og lukker ned. Har prøvet at afinstallere og installere app'en igen 😵","nedbrud_fejl"
"android","dk","1","6.0.2","Casper Aagaard","2024-11-23T20:09:24.303Z","","Mangler at kunne havde begge mine børn registreret i app. Under min profil, har begge registreret i deres egne app. Men kan ikke samle dem under min egen app./profil er der en løsning på dette. Man kan gøre i det i den app. Der hedder Holdsport i løbet af 2 min.",""
"android","dk","1","6.0.2","T. Jørgensen","2024-11-22T14:47:11.279Z","","Det må være lavet af en abe uden logisk sans.",""
"android","dk","1","6.0.2","Peter Hald","2024-08-04T16:28:20.165Z","","Hvem er den inkompetente idiot der har lavet denne app, jeg vil opfordre til at man fjerner den tåbe. Hvilken tosse opfinder et fodbold pas man ikke kan oprette til sit barn. Få styr på jeres elendighed",""
"android","dk","5","","Oliver Juhl-Kristensen","2024-07-20T06:33:10.765Z","","Det her hjælper en del",""
"android","dk","2","5.4","Kasper Bendtsen","2024-06-07T06:52:31.821Z","","Er jeg den eneste der oplever appen bruger utrolig meget mobil data end f.eks. Facebook, som jeg bruger noget mere end Kampklar ? Jeg har prøvet at afinstallere appen. Hjælper ikke rigtig.","login_adgang"
"android","dk","5","5.4","Henrik P Pedersen","2024-05-27T14:33:19.869Z","","Spillerne er to gange på holdkortet, når jeg går i på mit kampprogram. Ellers er det en god app Henrik",""
"android","dk","4","5.4","Michael Riis Ørskou","2024-05-06T07:11:36.921Z","","Opdatering: Jeg må erkende at havde jeg læst guiden lidt grundigere første gang jeg læste den, så havde jeg fundet ud af det inden jeg anmeldte. Tak for svar, funktionen er der, jeg har derfor opdateret til 4 stjerner, og min irritation er væk :-) __________________________________________________________ Generelt en OK App, men det irriterer mig når der meldes en ny feature ud og så er den ikke med alligevel. I min udgave er det ikke muligt at gøre noget som helst med Spiller grupper i App.",""
"android","dk","1","5.4","Søren Forsberg","2024-04-28T13:26:06.867Z","","Det er simpelthen den dårligste app jeg nogensinde har prøvet. Det er umuligt at finde ud af hvordan man man som forældre tilmelder børn og finder hold til dem. Det er det omvendte af intuitivt. Det er en ommer!",""
"android","dk","3","5.3.3","Mikkel Scheufens Petersen","2024-04-01T15:07:48.827Z","","Når jeg går på favoritter og vælger mit hold kommer jeg på kampprogram og så fryser den. Har prøvet at logge ud og ind igen. Afinstallere og geninstallere.. Intet hjælper. Har været sådan en uges tid. Update 1-4-24 efter svar fra DBU. Hej Grethe Den virker som før nu. Tak for det. Jeg har ændret min ene stjerne til 3. Appen er stadig meget rodet at finde rundt i sammenlignet med den gamle. Alt for tryk før man er inde ved sit favorithold. Men tak for at rette buggen så hurtigt i helligdagene","ux_findbarhed|nedbrud_fejl"
"android","dk","4","5.3.3","Jesper Therkelsen","2024-04-01T11:07:06.668Z","","Har ikke kunne bruge app'en i flere uger. Den ""fryser"" HVER gang jeg forsøger at bruge den. Virkelig irriterende, når man som træner er blevet afhængig af app'en 👎👎👎 (Fejlen er rettet. Glimrende 👍👍👍","nedbrud_fejl"
"android","dk","1","5.3.3","Thomas Amdisen","2024-04-01T06:30:34.290Z","","Når man går ind på en klub/søger rækker så fryser den på OnePlus 6 med version 11.1.2.2. Jeg havde ingen udfordringer før I opdateret jeres app.","nedbrud_fejl"
"android","dk","1","","jakob pedersen","2024-03-30T13:02:12.234Z","","Umuligt at bruge app'en.. Skærmen fryser efter få sekunder","nedbrud_fejl"
"android","dk","1","5.3.3","Gert Nielsen","2024-03-30T12:33:18.430Z","","Hvorfor kan jeg ikke se resultaterne længere",""
"android","dk","2","5.3.3","Viggo Frederiksen","2024-03-28T17:40:12.631Z","","Hej jeg kan ikke gøre noget vis jeg går ind på en klub så går der 5 sekunder så fryser min skærm bare?","nedbrud_fejl"
"android","dk","1","5.3.3","Henning Hansen","2024-03-26T09:45:41.673Z","","Virker ikke på min Nokia 6 nu går den på sort skærme efter at have opdatere. Virkerde før hilsen Henning Hansen","nedbrud_fejl"
"android","dk","5","5.3.2","Johnny Pedersen","2024-03-13T12:03:13.897Z","","Opdatering 😊 Efter længere tid med mail's, og forsøg på at løse mit problem ser det endelig ud til at være lykkedes at finde fejlen. Allerede her dagen efter ser det 👌 ud. Ingen unormal data/plads bliver brugt. Derfor også fuld plade ⭐ Har det sidste halve år haft problemer med at min mob. hele tiden meldte at hukommelsen var fuld. Jeg har slette apps, billeder, data osv. 1-2GB så var der ro en uge og så startede det forfra. Her til aften fandt jeg synderen ""DBU Fodbold"" app'en fyldte 30,4GB","nedbrud_fejl"
"android","dk","1","5.3","Hasan Yildirim","2024-03-10T13:34:34.410Z","","På dårligt jeg kan ikke come in🗿",""
"android","dk","1","5.3","Henrik Simonsen (Cybermaze)","2024-03-09T07:09:18.965Z","","Bliver ikke logget ind med Facebook (hvorfor så tilbyde det?) - Har tjekket Facebook, tilladelsen er der, men jeg glor blot på login skærmen i app'en. Det er en ommer.","login_adgang"
"android","dk","2","5.2","Mogens Andersen","2024-02-21T16:22:24.427Z","","Som træner og forældre er denne app ikke særlig brugervenlig. Simple ting som filtrering på Kamp, Træning, møde, stævne, mv. kan man ikke, og det er overbliks-killer. Sortering på meddelelser er også en by i Ukraine, for en mail om hvem, der lige melder fra til træning (ud af 50 på holdet) betyder ingenting, men det betyder alverden ved en kamp. 50 børn med tre træninger og kampe i weekenden er over 800 beskeder om måneden. Sortering i beskeder, tak. Ugens træningsprogram ikke som beskeder","notifikationer|sprog|login_adgang"
"android","dk","2","5.2","Bo Berglund","2024-01-18T21:24:51.490Z","","Er lidt rodet og man kan ikke bruge swift keyboard i app.","ux_findbarhed"
"android","dk","2","5.1.7","Kaspar Fuglsang","2023-12-03T06:30:46.151Z","","Ærgeligt at opgavefunktionen hvor man kan byde ind med f.eks. kørsel osv. er forsvundet. Den var yderst brugbar. Tilbage med den funktion. Derfor kun 2 stjerner",""
"android","dk","4","5.1.4","Kasper Sandris","2023-10-26T15:19:46.963Z","","Meget brugbar, men for mange fejl. Crasher flere gange under livekampe og mellem skifte i menuerne.","nedbrud_fejl"
"android","dk","1","5.1.4","Søren Lauritsen","2023-10-14T06:42:50.248Z","","Før opdateringen / ny app oplevede jeg enkle udfald. Efter opdateringen virker det helt håbløst, synes ikke der går en weekend uden der er udfordringer med App'en. Det er meget skidt, når App'en er det værktøj DBU forventer vi dom træneren bruger til fx holdkort 😕","login_adgang"
