name,website,category,deepLooksLikeGuide,matchUrl,matchText
"Fløng-Hedehusene Fodbold","http://www.fhfodbold.dk/","egen-kampklar-side","true","https://www.fhfodbold.dk/praktisk-info/kampklar-styrker-holdet/","KampKlar - Styrker holdet!"
"Frederiksberg Boldklub","http://www.frederiksberg-boldklub.dk/","kun-link-til-dbu","","https://mit.dbu.dk/MyTeam/MyTeams.aspx","Login KampKlar MitDBU"
"Fredericia KFUM","http://www.fredericiakfum.dk/","ingen-paa-forside","","",""
"Fredericia fF","http://www.fredericiaff.dk/","ingen-paa-forside","","",""
"Fredensborg BI","http://fbi-bold.dk/","ingen-paa-forside","","",""
"Fremad Amager Elite (professional)","http://www.fremad-amager.dk/","ingen-paa-forside","","",""
"Fuglebakken KFUM Århus","http://www.fuglebakkenkfum.dk/","kun-link-til-dbu","","https://mit.dbu.dk/login.aspx","KampKlar / Mit DBU"
"Funder GF","http://www.fundergffodbold.dk/","unreachable","","",""
"Futsal Club Fjordbold","http://www.fcfjordbold.dk/","ingen-paa-forside","","",""
"Frem Hellebæk","http://www.ifh-fodbold.dk/","kun-link-til-dbu","","https://klubservice.dbu.dk/kampklar/saadan-kommer-du-igang/hvordan-bliver-jeg-kontaktperson-for-mit-barn/","S&#229;dan bliver du kontaktperson for dit barn"
"Fynslund B","http://www.fynslundboldklub.dk/","ingen-paa-forside","","",""
"Førslev IF","http://www.forslevif.dk/","ingen-paa-forside","","",""
"Frederiksværk Fodbold Klub","http://www.ffk-fodbold.dk/","ingen-paa-forside","","",""
"FK Sydsjælland 05","http://www.fk05.dk/","ingen-paa-forside","","",""
"Frederikssund IK","http://www.fikfodbold.dk/","ingen-paa-forside","","",""
"Føvling/Stenderup UI","http://www.fsui.dk/","ingen-paa-forside","","",""
"Gadevang IF","http://www.gadevang-if.dk/","ingen-paa-forside","","",""
"Galten FS","http://galtenfsfodbold.dk/","kun-link-til-dbu","","http://www.dbu.dk/klubservice/it-tilbud/kampklar","DBU KampKlar"
"Gandrup SK","http://www.gandrup-sportsklub.dk/","ingen-paa-forside","","",""
"Gedved IF","http://www.gedved-if.dk/","ingen-paa-forside","","",""
"Gauerslund IF","http://www.gauerslundiffodbold.dk/","ingen-paa-forside","","",""
"Gelsted G & IF","http://www.ggif-fyn.dk/","ingen-paa-forside","","",""
"Fårevejle BK","http://www.faarevejle-bk.dk/","ingen-paa-forside","","",""
"Føllenslev-Særslev IF","http://www.fsifodbold.dk/","ingen-paa-forside","","",""
"Fursund IF","http://www.fursundif.dk/","ingen-paa-forside","","",""
"Gesten IF","http://www.gesten-if.dk/","ingen-paa-forside","","",""
"GFG Voel","http://www.gfg-voel.dk/","ingen-paa-forside","","",""
"Gentofte-Vangede Idrætsforening","http://www.gvi-fodbold.dk/","ingen-paa-forside","","",""
"Gevninge IF","http://www.gevninge-fodbold.dk/","ingen-paa-forside","","",""
"Giovani Hajduk","http://www.hajduk.dk/","ingen-paa-forside","","",""
"Gilleleje FK","http://www.gillelejefodboldklub.dk/","ingen-paa-forside","","",""
"Fuglebjerg IF","https://fuglebjergif.dk/afdelinger/fodbold/tilmeld","ingen-paa-forside","","",""
"Give Fremad","http://www.givefremad.dk/","ingen-paa-forside","","",""
"Givskud GUF","http://www.givskud.dk/","ingen-paa-forside","","",""
"Fårvang IF","http://www.hfif.dk/","ingen-paa-forside","","",""
"Gl. Rye IF","http://www.glryeif.dk/","ingen-paa-forside","","",""
"Glostrup 95","http://www.glostrup95.dk/","unreachable","","",""
"Gladsaxe-Hero BK","http://www.gladsaxe-hero.dk/","ingen-paa-forside","","",""
"Gjern IF","http://www.gjern-if.dk/","ingen-paa-forside","","",""
"Grantoften IF","http://www.grantoften-if.klub-modul.dk/","ingen-paa-forside","","",""
"Glamsbjerg IF","http://www.glamsbjergif.dk/","ingen-paa-forside","","",""
"GIF-Gram","http://www.gramif.dk/","ingen-paa-forside","","",""
"Grauballe UGF","http://www.gugf.dk/","ingen-paa-forside","","",""
"Grejs-Dalen Idrætsklub","http://www.gdik.dk/","ingen-paa-forside","","",""
